EventName,EventKey,MatchLevel,MatchNumber,Alliance,TeleopAmpCount,TeleopSpeakerUnAmplifiedCount,TeleopSpeakerAmplifiedCount,Points,Win
Canadian Pacific,2024bcvi,f,1,blue,2,7,2,48,0
Canadian Pacific,2024bcvi,f,1,red,6,2,5,78,1
Canadian Pacific,2024bcvi,f,2,blue,2,7,1,50,0
Canadian Pacific,2024bcvi,f,2,red,7,2,5,75,1
Canadian Pacific,2024bcvi,qm,1,blue,3,5,2,34,0
Canadian Pacific,2024bcvi,qm,1,red,5,2,4,60,1
Canadian Pacific,2024bcvi,qm,10,blue,0,14,0,47,1
Canadian Pacific,2024bcvi,qm,10,red,1,0,0,32,0
Canadian Pacific,2024bcvi,qm,11,blue,0,4,0,16,0
Canadian Pacific,2024bcvi,qm,11,red,1,8,0,42,1
Canadian Pacific,2024bcvi,qm,12,blue,2,2,0,19,0
Canadian Pacific,2024bcvi,qm,12,red,4,8,1,47,1
Canadian Pacific,2024bcvi,qm,13,blue,2,7,1,37,1
Canadian Pacific,2024bcvi,qm,13,red,0,7,0,29,0
Canadian Pacific,2024bcvi,qm,14,blue,5,3,1,35,1
Canadian Pacific,2024bcvi,qm,14,red,0,7,0,25,0
Canadian Pacific,2024bcvi,qm,15,blue,3,2,0,44,1
Canadian Pacific,2024bcvi,qm,15,red,0,5,0,32,0
Canadian Pacific,2024bcvi,qm,16,blue,6,5,2,78,1
Canadian Pacific,2024bcvi,qm,16,red,1,10,0,43,0
Canadian Pacific,2024bcvi,qm,17,blue,1,8,0,46,1
Canadian Pacific,2024bcvi,qm,17,red,2,8,0,39,0
Canadian Pacific,2024bcvi,qm,18,blue,1,2,0,23,1
Canadian Pacific,2024bcvi,qm,18,red,0,2,0,17,0
Canadian Pacific,2024bcvi,qm,19,blue,1,7,0,28,0
Canadian Pacific,2024bcvi,qm,19,red,4,3,3,48,1
Canadian Pacific,2024bcvi,qm,2,blue,1,10,0,37,1
Canadian Pacific,2024bcvi,qm,2,red,1,7,0,32,0
Canadian Pacific,2024bcvi,qm,20,blue,0,7,0,39,1
Canadian Pacific,2024bcvi,qm,20,red,1,1,0,13,0
Canadian Pacific,2024bcvi,qm,21,blue,0,3,0,15,0
Canadian Pacific,2024bcvi,qm,21,red,4,5,0,35,1
Canadian Pacific,2024bcvi,qm,22,blue,2,6,0,52,1
Canadian Pacific,2024bcvi,qm,22,red,0,2,0,16,0
Canadian Pacific,2024bcvi,qm,23,blue,1,6,0,26,0
Canadian Pacific,2024bcvi,qm,23,red,2,8,0,51,1
Canadian Pacific,2024bcvi,qm,24,blue,3,6,0,55,1
Canadian Pacific,2024bcvi,qm,24,red,1,1,0,32,0
Canadian Pacific,2024bcvi,qm,25,blue,0,4,0,22,0
Canadian Pacific,2024bcvi,qm,25,red,4,4,1,46,1
Canadian Pacific,2024bcvi,qm,26,blue,0,0,0,8,0
Canadian Pacific,2024bcvi,qm,26,red,4,2,4,49,1
Canadian Pacific,2024bcvi,qm,27,blue,5,2,5,61,1
Canadian Pacific,2024bcvi,qm,27,red,2,2,0,12,0
Canadian Pacific,2024bcvi,qm,28,blue,3,1,0,16,0
Canadian Pacific,2024bcvi,qm,28,red,1,13,0,53,1
Canadian Pacific,2024bcvi,qm,29,blue,5,7,2,42,1
Canadian Pacific,2024bcvi,qm,29,red,2,6,0,26,0
Canadian Pacific,2024bcvi,qm,3,blue,1,9,0,34,1
Canadian Pacific,2024bcvi,qm,3,red,1,0,0,19,0
Canadian Pacific,2024bcvi,qm,30,blue,1,12,0,51,1
Canadian Pacific,2024bcvi,qm,30,red,2,8,1,46,0
Canadian Pacific,2024bcvi,qm,31,blue,0,0,0,10,0
Canadian Pacific,2024bcvi,qm,31,red,7,1,3,46,1
Canadian Pacific,2024bcvi,qm,32,blue,4,1,0,19,0
Canadian Pacific,2024bcvi,qm,32,red,6,3,1,30,1
Canadian Pacific,2024bcvi,qm,33,blue,2,8,0,26,0
Canadian Pacific,2024bcvi,qm,33,red,1,9,0,49,1
Canadian Pacific,2024bcvi,qm,34,blue,2,5,2,40,1
Canadian Pacific,2024bcvi,qm,34,red,3,3,2,38,0
Canadian Pacific,2024bcvi,qm,35,blue,2,4,2,37,0
Canadian Pacific,2024bcvi,qm,35,red,0,11,0,43,1
Canadian Pacific,2024bcvi,qm,36,blue,7,0,4,67,1
Canadian Pacific,2024bcvi,qm,36,red,3,2,2,34,0
Canadian Pacific,2024bcvi,qm,37,blue,1,0,0,20,0
Canadian Pacific,2024bcvi,qm,37,red,1,8,0,32,1
Canadian Pacific,2024bcvi,qm,38,blue,1,0,0,29,0
Canadian Pacific,2024bcvi,qm,38,red,3,6,1,33,1
Canadian Pacific,2024bcvi,qm,39,blue,5,2,2,64,1
Canadian Pacific,2024bcvi,qm,39,red,0,3,0,24,0
Canadian Pacific,2024bcvi,qm,4,blue,1,1,0,4,0
Canadian Pacific,2024bcvi,qm,4,red,2,9,1,39,1
