EventName,EventKey,EventWeek,MatchLevel,MatchNumber,Alliance,TeleopAmpCount,TeleopSpeakerUnAmplifiedCount,TeleopSpeakerAmplifiedCount,Points,Win
Arkansas,2024arli,2,f,1,blue,7,3,3,60,0
Arkansas,2024arli,2,f,1,red,8,3,6,84,1
Arkansas,2024arli,2,f,2,blue,6,1,4,46,0
Arkansas,2024arli,2,f,2,red,6,4,9,89,1
Arkansas,2024arli,2,qm,1,blue,2,5,0,26,0
Arkansas,2024arli,2,qm,1,red,2,7,0,60,1
Arkansas,2024arli,2,qm,10,blue,0,6,0,19,0
Arkansas,2024arli,2,qm,10,red,7,6,6,73,1
Arkansas,2024arli,2,qm,11,blue,2,4,1,47,1
Arkansas,2024arli,2,qm,11,red,2,7,0,29,0
Arkansas,2024arli,2,qm,12,blue,5,4,3,48,1
Arkansas,2024arli,2,qm,12,red,3,3,1,25,0
Arkansas,2024arli,2,qm,13,blue,0,8,0,58,1
Arkansas,2024arli,2,qm,13,red,3,6,2,53,0
Arkansas,2024arli,2,qm,14,blue,7,1,1,27,0
Arkansas,2024arli,2,qm,14,red,5,3,1,30,1
Arkansas,2024arli,2,qm,15,blue,0,5,0,24,0
Arkansas,2024arli,2,qm,15,red,3,5,1,41,1
Arkansas,2024arli,2,qm,16,blue,5,4,0,36,0
Arkansas,2024arli,2,qm,16,red,7,7,6,70,1
Arkansas,2024arli,2,qm,17,blue,5,8,1,44,1
Arkansas,2024arli,2,qm,17,red,2,4,0,19,0
Arkansas,2024arli,2,qm,18,blue,8,4,6,79,1
Arkansas,2024arli,2,qm,18,red,2,1,0,23,0
Arkansas,2024arli,2,qm,19,blue,7,5,2,51,1
Arkansas,2024arli,2,qm,19,red,5,1,1,25,0
Arkansas,2024arli,2,qm,2,blue,5,1,1,25,0
Arkansas,2024arli,2,qm,2,red,5,0,3,43,1
Arkansas,2024arli,2,qm,20,blue,8,3,6,72,1
Arkansas,2024arli,2,qm,20,red,0,1,0,16,0
Arkansas,2024arli,2,qm,21,blue,4,3,3,32,0
Arkansas,2024arli,2,qm,21,red,4,5,3,49,1
Arkansas,2024arli,2,qm,22,blue,6,4,3,52,1
Arkansas,2024arli,2,qm,22,red,0,6,0,32,0
Arkansas,2024arli,2,qm,23,blue,7,2,5,66,1
Arkansas,2024arli,2,qm,23,red,5,4,2,61,0
Arkansas,2024arli,2,qm,24,blue,2,6,0,41,0
Arkansas,2024arli,2,qm,24,red,10,0,3,47,1
Arkansas,2024arli,2,qm,25,blue,7,3,5,66,1
Arkansas,2024arli,2,qm,25,red,4,6,4,59,0
Arkansas,2024arli,2,qm,26,blue,6,1,1,34,1
Arkansas,2024arli,2,qm,26,red,5,0,0,19,0
Arkansas,2024arli,2,qm,27,blue,7,2,4,55,0
Arkansas,2024arli,2,qm,27,red,6,6,4,60,1
Arkansas,2024arli,2,qm,28,blue,5,1,3,26,0
Arkansas,2024arli,2,qm,28,red,6,6,1,42,1
Arkansas,2024arli,2,qm,29,blue,6,5,4,74,1
Arkansas,2024arli,2,qm,29,red,5,7,2,41,0
Arkansas,2024arli,2,qm,3,blue,6,4,1,28,1
