,total_points,auto_points,teleop_points,endgame_points,auto_rp,coral_rp,barge_rp,tiebreaker_points,auto_leave_points,auto_coral,auto_coral_points,teleop_coral,teleop_coral_points,coral_l1,coral_l2,coral_l3,coral_l4,total_coral_points,processor_algae,processor_algae_points,net_algae,net_algae_points,total_algae_points,total_game_pieces,barge_points,rp_1,rp_2,rp_3,teamNumber
10157,22.24,5.84,11.82,4.58,0.2082,-0.0031,0.16795,0.25,2.58,0.67,3.26,3.2,10.47,1.27,-0.52,0.78,1.75,13.73,0.5,1.51,-0.04,-0.16,1.35,3.62,4.58,0.2082,-0.0031,0.16795,10157
10224,41.21,9.29,26.76,5.17,0.3639,0.2913,0.12808,0.25,2.96,0.96,6.33,6.86,23.89,-0.08,1.69,1.92,3.17,30.21,0.79,2.37,0.12,0.5,2.87,7.62,5.17,0.3639,0.2913,0.12808,10224
1038,17.93,3.66,13.85,0.42,0.1874,0.1245,-0.04286,0.11,3.3,0.09,0.35,1.99,7.53,0.49,0.22,0.73,0.64,7.88,0.93,2.79,0.88,3.53,6.32,3.9,0.42,0.1874,0.1245,-0.04286,1038
10479,56.97,11.66,37.78,7.53,0.2073,0.3192,0.23816,0.2,2.79,1.42,8.87,9.73,35.58,0.41,1.97,2.62,4.93,44.45,0.38,1.13,0.27,1.07,2.2,10.6,7.53,0.2073,0.3192,0.23816,10479
1153,77.48,13.08,53.94,10.47,0.5288,0.5257,0.63935,0.32,3.22,1.91,9.85,10.92,36.59,0.88,2.9,5.18,2.45,46.44,0.43,1.3,4.01,16.04,17.34,15.85,10.47,0.5288,0.5257,0.63935,1153
1241,78.39,21.96,53.92,2.51,0.5019,0.6779,0.08313,0.16,2.87,2.71,19.09,14.89,45.56,1.73,4.14,4.76,4.84,64.65,0.15,0.44,1.98,7.92,8.36,17.67,2.51,0.5019,0.6779,0.08313,1241
1506,53.56,12.97,32.04,8.55,0.5023,0.1186,0.54182,0.01,3.04,1.49,9.93,8.81,30.77,1.21,1.58,1.81,4.64,40.71,0.16,0.48,0.2,0.78,1.27,9.83,8.55,0.5023,0.1186,0.54182,1506
1700,25.26,5.4,16.42,3.44,0.3241,-0.1133,0.10525,0.1,3.05,0.4,2.34,3.93,13.76,0.91,-0.11,0.86,2.11,16.1,-0.03,-0.08,0.68,2.74,2.66,4.4,3.44,0.3241,-0.1133,0.10525,1700
1768,80.68,19.05,53.53,8.09,0.5125,0.6469,0.52646,0.25,3.08,2.43,15.97,13.54,43.91,0.88,4.18,4.62,4.45,59.87,0.76,2.28,1.84,7.35,9.63,16.95,8.09,0.5125,0.6469,0.52646,1768
1902,55.72,7.86,39.8,8.06,0.2879,0.2579,0.52792,0.03,2.59,0.87,5.27,10.54,38.61,1.2,2.93,5.45,1.81,43.88,0.31,0.94,0.06,0.25,1.19,11.77,8.06,0.2879,0.2579,0.52792,1902
195,78.58,20.15,48.54,9.89,0.6263,0.7276,0.69653,0.09,3.19,2.42,16.96,14.75,44.94,2.42,4.14,4.36,4.47,61.9,1.51,4.54,-0.24,-0.95,3.6,16.68,9.89,0.6263,0.7276,0.69653,195
2075,73.05,17.91,45.41,9.74,0.4963,0.3588,0.5989,0.11,3.11,2.03,14.8,11.67,37.41,0.18,3.6,3.91,4.18,52.21,0.4,1.2,1.7,6.8,8.0,14.28,9.74,0.4963,0.3588,0.5989,2075
